epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03914,2.0857,3.34753,1.7776,0.03432,0.62483,0.11816,0.04978,1.744,3.11116,1.43634,0.0002,0.0002,0.0002
2,13.018,1.79706,1.90207,1.42187,0.08133,0.69793,0.47082,0.21625,1.68802,2.47319,1.27948,0.000411684,0.000411684,0.000411684
3,17.3379,1.71164,1.50973,1.34279,0.79486,0.40619,0.57175,0.2767,1.7285,2.09604,1.35007,0.000614656,0.000614656,0.000614656
4,21.2573,1.66594,1.43938,1.33851,0.6576,0.48743,0.55779,0.27494,1.74908,1.89502,1.41915,0.000808916,0.000808916,0.000808916
5,26.2545,1.65509,1.40465,1.33475,0.61639,0.49103,0.49371,0.23527,1.79238,1.91735,1.46425,0.000994464,0.000994464,0.000994464
6,30.3545,1.66078,1.40851,1.35903,0.46136,0.38897,0.36419,0.16819,1.86638,1.91052,1.55103,0.0011713,0.0011713,0.0011713
7,34.3816,1.64704,1.34934,1.37211,0.53252,0.36,0.39041,0.18221,1.82786,1.92996,1.57612,0.00133942,0.00133942,0.00133942
8,39.548,1.6424,1.33767,1.34677,0.64316,0.47733,0.52748,0.26475,1.75966,1.66459,1.49866,0.00149884,0.00149884,0.00149884
9,43.4059,1.66566,1.32114,1.32707,0.61781,0.4593,0.50872,0.25195,1.7606,1.65123,1.51189,0.00164954,0.00164954,0.00164954
10,47.0759,1.61531,1.26765,1.3264,0.62585,0.46483,0.50754,0.23935,1.81498,1.64327,1.59393,0.0016436,0.0016436,0.0016436
11,52.2196,1.60061,1.25489,1.31103,0.57921,0.4869,0.50329,0.23618,1.80128,1.67261,1.55782,0.001604,0.001604,0.001604
12,56.1262,1.58765,1.27661,1.30855,0.5941,0.54483,0.55126,0.27206,1.74889,1.58666,1.52401,0.0015644,0.0015644,0.0015644
13,60.3292,1.58384,1.20068,1.32077,0.5931,0.52828,0.56132,0.28368,1.73149,1.51343,1.49631,0.0015248,0.0015248,0.0015248
14,65.5092,1.59667,1.20266,1.31294,0.6702,0.4793,0.54442,0.27114,1.77237,1.74318,1.5063,0.0014852,0.0014852,0.0014852
15,69.6157,1.55835,1.1495,1.28791,0.6355,0.48552,0.55244,0.27545,1.71693,1.62944,1.48574,0.0014456,0.0014456,0.0014456
16,73.563,1.57713,1.16059,1.30343,0.63873,0.5804,0.63802,0.32211,1.72279,1.3638,1.41384,0.001406,0.001406,0.001406
17,78.7377,1.55864,1.14955,1.28666,0.68415,0.59862,0.66621,0.33694,1.71334,1.33284,1.42685,0.0013664,0.0013664,0.0013664
18,82.8442,1.54203,1.13517,1.28784,0.62888,0.5633,0.60094,0.29385,1.74912,1.41336,1.42243,0.0013268,0.0013268,0.0013268
19,87.0978,1.51983,1.12893,1.25862,0.59628,0.493,0.52142,0.25183,1.78307,1.56556,1.42435,0.0012872,0.0012872,0.0012872
20,92.1772,1.52083,1.12102,1.28611,0.65554,0.50207,0.57522,0.28593,1.77626,1.4141,1.44579,0.0012476,0.0012476,0.0012476
21,95.9483,1.54738,1.11536,1.27537,0.63621,0.60063,0.64473,0.33452,1.66436,1.28461,1.3926,0.001208,0.001208,0.001208
22,100.189,1.5011,1.06611,1.25603,0.64864,0.60966,0.6058,0.31027,1.6509,1.40941,1.39007,0.0011684,0.0011684,0.0011684
23,105.205,1.47897,1.07263,1.27269,0.7194,0.58345,0.67726,0.35009,1.65478,1.30905,1.41726,0.0011288,0.0011288,0.0011288
24,109.315,1.46502,1.07253,1.25414,0.71069,0.51448,0.60939,0.31973,1.64402,1.39925,1.43747,0.0010892,0.0010892,0.0010892
25,113.287,1.43993,1.0186,1.2301,0.72374,0.55286,0.64519,0.33751,1.66679,1.3526,1.43591,0.0010496,0.0010496,0.0010496
26,118.344,1.46077,1.02982,1.25101,0.74712,0.57867,0.67902,0.35604,1.62878,1.25946,1.37696,0.00101,0.00101,0.00101
27,122.532,1.47566,1.03096,1.23685,0.74339,0.60414,0.69022,0.36046,1.63991,1.23425,1.36289,0.0009704,0.0009704,0.0009704
28,126.644,1.47205,1.05271,1.24335,0.68489,0.62069,0.68289,0.35939,1.65954,1.19394,1.37109,0.0009308,0.0009308,0.0009308
29,131.703,1.43219,0.99529,1.23248,0.68174,0.62483,0.68745,0.34805,1.69422,1.21194,1.4164,0.0008912,0.0008912,0.0008912
30,135.505,1.43371,1.01548,1.23303,0.74488,0.58621,0.68338,0.35053,1.70026,1.25705,1.40522,0.0008516,0.0008516,0.0008516
